key	definitions	type	instances	example
x-swagger-router-controller	2232	string	18170	https://raw.githubusercontent.com/ZumoCommunity/Notification-API/master/src/api/api/swagger/swagger.yaml
x-logo	1878	multiple	1886	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-providerName	1352	string	1360	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-preferred	1086	boolean	1093	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-redis/2015-08-01/swagger/redis.json
x-azure-api-id	1047	string	1047	https://raw.githubusercontent.com/issmith1/utm-fims/master/swagger.json
x-WM-BASE_PATH	919	multiple	3865	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-FULLY_QUALIFIED_NAME	919	string	9186	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-RELATIVE_PATH	919	string	3865	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-SERVICE_ID	919	string	919	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-SERVICE_TYPE	919	string	919	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-TAG	919	string	3865	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-TAGS	906	object	8339	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-serviceName	891	string	895	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-WM-ACCESS_SPECIFIER	863	string	5280	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-EDITABLE	751	boolean	10343	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-API_ID	713	multiple	713	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-apiClientRegistration	666	object	670	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/times_tags/times_tags_v3.json
x-swagger-pipe	656	multiple	667	https://raw.githubusercontent.com/ZumoCommunity/Application-API/master/src/api/swagger/swagger.yaml
x-WM-METHOD_NAME	633	string	1372	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
x-WM-OPERATION_UID	602	string	4974	https://raw.githubusercontent.com/VishnuAlla/Test1/master/services/MyJavaService/designtime/MyJavaService_API.json
x-ms-enum	588	multiple	5939	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-WM-IS_LIST	584	boolean	2727	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/src/googleapis_apiTarget.json
