key	definitions	type	instances	example
x-swagger-router-controller	1612	string	10931	https://raw.githubusercontent.com/ZumoCommunity/Notification-API/master/src/api/api/swagger/swagger.yaml
x-WM-BASE_PATH	919	multiple	3865	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-FULLY_QUALIFIED_NAME	919	string	9186	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-RELATIVE_PATH	919	string	3865	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-SERVICE_ID	919	string	919	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-SERVICE_TYPE	919	string	919	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-TAG	919	string	3865	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-TAGS	906	object	8339	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-logo	900	object	904	https://raw.githubusercontent.com/yourapiexpert/restify-template/master/003%20Endpoints/specs/swagger.yaml
x-WM-ACCESS_SPECIFIER	863	string	5280	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-providerName	848	string	852	https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/github.com/v3/swagger.yaml
x-WM-EDITABLE	751	boolean	10343	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-preferred	739	boolean	743	https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/github.com/v3/swagger.yaml
x-WM-API_ID	713	multiple	713	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-WM-METHOD_NAME	633	string	1372	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-swagger-pipe	605	multiple	616	https://raw.githubusercontent.com/ZumoCommunity/Application-API/master/src/api/swagger/swagger.yaml
x-WM-OPERATION_UID	602	string	4974	https://raw.githubusercontent.com/VishnuAlla/Test1/master/services/MyJavaService/designtime/MyJavaService_API.json
x-WM-IS_LIST	584	boolean	2727	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-ms-enum	513	multiple	4994	https://raw.githubusercontent.com/xingwu1/test/master/BatchRestClient.json
x-serviceName	508	string	510	https://www.googleapis.com/discovery/v1/apis/adexchangebuyer/v1.4/rest
x-WM-COMPLETE_PATH	475	string	3421	https://raw.githubusercontent.com/yudajush/ManejoPersonas/master/services/googleapis/designtime/googleapis_API_REST_SERVICE.json
x-ms-pageable	431	multiple	2546	https://raw.githubusercontent.com/xingwu1/test/master/BatchRestClient.json
