extension	total	example
x-example	3288303	XML conforming XSD v 1.5
x-nullable	311201	TRUE
x-format	75830	"{""guid"":true}"
x-convert	54973	"{""lowercase"":true}"
x-go-name	45033	Language
x-alternatives	37308	"[{""description"":""QRCode data encoding"",""enum"":[""UTF-8""],""type"":""string"",""x-meta"":{""category"":""COMMON"",""examples"":[""UTF-8""],""implementation"":{""status"":""PARTIAL""},""link"":""https://documentation.image-charts.com/qr-codes/#data-encoding"",""note"":""How to encode the data in the QR code. 'UTF-8' is the default and only supported value. Contact our team if you wish to have support for Shift_JIS and/or ISO-8859-1.""}}]"
x-order	34860	2147483647
x-constraint	33400	"{""greater"":-1}"
x-optio3-type-name	24520	AggregationTableWidgetConfiguration
x-kubernetes-group-version-kind	23409	"{""group"":"""",""kind"":""ComponentStatus"",""version"":""v1""}"
x-RequiredAuthentication	14745	Requires authentication as user
x-ms-examples	14381	"{""OperationsList"":{""parameters"":{""api-version"":""2018-08-20-preview""},""responses"":{""200"":{""body"":{""value"":[{""display"":{},""name"":""Microsoft.HealthcareApis/services/read"",""origin"":""user,system""},{""display"":{},""name"":""Microsoft.HealthcareApis/services/write"",""origin"":""user,system""},{""display"":{},""name"":""Microsoft.HealthcareApis/services/delete"",""origin"":""user,system""},{""display"":{""description"":""Get the status of an asynchronous operation"",""operation"":""read"",""provider"":""Microsoft.HealthcareApis"",""resource"":""operationresults""},""name"":""Microsoft.HealthcareApis/locations/operationresults/read"",""origin"":""user,system""},{""display"":{},""name"":""Microsoft.HealthcareApis/checkNameAvailability/post"",""origin"":""user""},{""display"":{""description"":""Get the list of operations supported by this Resource Provider."",""operation"":""read"",""provider"":""Microsoft.HealthcareApis"",""resource"":""operations""},""name"":""Microsoft.HealthcareApis/Operations/read"",""origin"":""user,system""}]}}}}}"
x-kubernetes-action	13840	list
x-ms-enum	13218	"{""name"":""AudienceProcessingState""}"
x-examples	12618	"[""T0DES3UAN"",""C0ABC1ABC""]"
x-ms-parameter-location	11179	method
x-optio3-enum-type	9738	com.optio3.cloud.hub.model.dashboard.enums.AggregationTypeId
x-meta	7410	"{""category"":""COMMON"",""enum"":[""bvs"",""bvg"",""bhs"",""bhg"",""bvo"",""p"",""p3"",""pc"",""pd"",""ls"",""lc"",""lxy"",""ls:nda"",""lc:nda"",""lxy:nda"",""pa"",""bb"",""gv"",""gv:dot"",""gv:neato"",""gv:circo"",""gv:fdp"",""gv:osage"",""gv:twopi"",""qr"",""r""],""examples"":[""bvg"",""p""],""implementation"":{""status"":""COMPLETE""},""link"":""https://documentation.image-charts.com/reference/chart-type/"",""note"":""bvg= grouped bar chart, bvs= stacked bar chart, lc=line chart, ls=sparklines, p=pie chart. gv=graph viz\n        Three-dimensional pie chart (p3) will be rendered in 2D, concentric pie chart are not supported.\n        [Optional, line charts only] You can add :nda after the chart type in line charts to hide the default axes.""}"
x-github-source	7351	https://raw.githubusercontent.com/mdshuai/kubernetes/master/pkg/kubectl/explain/test-swagger.json
x-displayName	6929	Endpoints
x-go-package	6913	github.com/whip-networks/tvdb-api-v4-core/tvdb-api-v4-core/pkg/model
x-kubernetes-patch-strategy	6553	merge
x-kubernetes-patch-merge-key	5614	name
x-ms-client-flatten	5488	FALSE
x-ms-pageable	5276	"{""nextLinkName"":""nextLink""}"
x-ms-azure-resource	4436	TRUE
x-ms-long-running-operation	4435	TRUE
