key	definitions	type	instances	example
x-origin	391	object	393	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-providerName	391	string	393	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-logo	379	object	381	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-serviceName	275	string	276	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-apisguru-categories	242	object	242	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-preferred	237	boolean	238	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-apiClientRegistration	180	object	181	[swagger.yaml](https://www.googleapis.com/discovery/v1/apis/storage/v1beta1/rest)
x-tags	80	object	80	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-ms-pageable	73	object	550	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-ms-enum	67	object	863	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-ms-azure-resource	56	boolean	117	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-ms-client-flatten	53	boolean	470	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-ms-long-running-operation	41	boolean	416	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-reservedExpansion	38	boolean	272	[swagger.yaml](https://youtubereporting.googleapis.com/$discovery/rest?version=v1)
x-ms-parameter-location	27	string	59	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json)
x-hasEquivalentPaths	23	boolean	23	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json)
x-ms-odata	23	string	90	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-web/2015-08-01-preview/swagger/logicAppsManagementClient.json)
x-unofficialSpec	19	boolean	19	[swagger.yaml](https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/xkcd.com/1.0.0/swagger.yaml)
x-ms-client-name	10	string	131	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-storage/2016-12-01/swagger/storage.json)
x-ms-skip-url-encoding	9	boolean	64	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-web/2015-08-01/swagger/service.json)
x-ms-external	8	boolean	17	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-batch/2015-12-01/swagger/BatchManagement.json)
x-ms-code-generation-settings	7	object	7	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-batch/2015-12-01/swagger/BatchManagement.json)
x-data-threescale-name	5	string	95	[swagger.yaml](https://developer.hetras.com/swagger/spec/HotelAPIv0.json)
x-ms-client-request-id	5	boolean	292	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-search/2015-08-19/swagger/search.json)
x-ms-parameter-grouping	5	object	1857	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-search/2015-08-19/swagger/search.json)
x-ms-discriminator-value	4	string	65	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-recoveryservicesbackup/2016-06-01/swagger/recoveryservicesbackup.json)
x-ms-examples	4	object	61	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json)
x-ms-request-id	4	string	291	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/batch/2017-01-01.4.0/swagger/BatchService.json)
x-anyOf	3	object	21	[swagger.yaml](https://raw.githubusercontent.com/Mermade/openC4/master/c4Api/swagger.json)
x-consoleDefault	3	string	5	[swagger.yaml](https://raw.githubusercontent.com/NYTimes/public_api_specs/master/top_stories/top_stories_v2.json)
x-ms-mutability	2	object	15	[swagger.yaml](https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json)
x-servers	2	object	2	[swagger.yaml](http://zappiti.com/api/zappiti-player-4k/swagger/swagger.yaml)
x-amples	1	object	2	[swagger.yaml](https://wikimedia.org/api/rest_v1/?spec)
x-code-samples	1	object	168	[swagger.yaml](http://rebilly.github.io/RebillyAPI/swagger.json)
x-default-params	1	object	1	[swagger.yaml](https://wikimedia.org/api/rest_v1/?spec)
x-documentation	1	string	68	[swagger.yaml](https://raw.githubusercontent.com/Mermade/openC4/master/c4Api/swagger.json)
x-host-basePath	1	string	1	[swagger.yaml](https://wikimedia.org/api/rest_v1/?spec)
x-internal-request-whitelist	1	object	1	[swagger.yaml](https://wikimedia.org/api/rest_v1/?spec)
x-links	1	object	14	[swagger.yaml](http://developers.ijenko.com/swagger.json)
x-mashery-id	1	string	1	[swagger.yaml](https://raw.githubusercontent.com/Mermade/openapi_specifications/master/mashery/api.rottentomatoes.com/Rotten-Tomatoes/1.0/swagger.json)
x-monitor	1	boolean	8	[swagger.yaml](https://wikimedia.org/api/rest_v1/?spec)
