key	definitions	type	instances	example
x-origin	1002	object	1002	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-logo	980	multiple	984	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-providerName	497	string	501	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-mashape-categories	456	object	456	https://market.mashape.com/zilyo/zilyo
x-serviceName	378	string	380	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-apisguru-categories	344	object	344	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-preferred	343	boolean	346	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json
x-mashery-id	301	string	301	https://raw.githubusercontent.com/Mermade/openapi_specifications/master/mashery/api.rottentomatoes.com/Rotten-Tomatoes/1.0/swagger.json
x-apiClientRegistration	284	object	286	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/times_tags/times_tags_v3.json
x-swagger-router-controller	198	string	2335	https://raw.githubusercontent.com/yyssc/ssc_web-boilerplate/master/src/swagger/swagger.yaml
x-hasEquivalentPaths	116	boolean	116	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json
x-amazon-apigateway-authtype	103	string	103	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/waf-2015-08-24.normal.json
x-release	102	string	102	https://raw.githubusercontent.com/Mermade/bbcparse/master/iblApi/swagger.json
x-apisguru-direct	101	boolean	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/waf-2015-08-24.normal.json
x-tags	86	object	141	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-ms-pageable	73	object	550	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-ms-enum	68	object	864	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-swagger-pipe	59	string	65	https://raw.githubusercontent.com/vmaudgalya/medical/master/server/api/swagger/swagger.yaml
x-ms-azure-resource	56	boolean	117	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-ms-client-flatten	54	boolean	476	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-accepts	48	string	180	https://raw.githubusercontent.com/TechEmpower/FrameworkBenchmarks/master/frameworks/Java/light-java/src/main/resources/config/swagger.json
x-contentType	48	string	180	https://raw.githubusercontent.com/TechEmpower/FrameworkBenchmarks/master/frameworks/Java/light-java/src/main/resources/config/swagger.json
x-ms-long-running-operation	42	boolean	417	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-reservedExpansion	38	boolean	272	https://tracing.googleapis.com/$discovery/rest?version=v1
x-ms-parameter-location	27	string	59	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-waiters	25	object	55	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/route53-2013-04-01.normal.json
x-ms-odata	23	string	90	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/insights/2016-03-01/swagger/insightsClient_MetricDefinitions.json
x-unofficialSpec	23	boolean	23	https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/xkcd.com/1.0.0/swagger.yaml
x-go-name	19	string	1855	https://raw.githubusercontent.com/yuuki/droot/master/vendor/github.com/docker/docker/api/swagger.yaml
x-amazon-apigateway-integration	18	object	127	https://raw.githubusercontent.com/warnergodfrey/lambda-clj-example/master/resources/swagger.json
x-nullable	17	boolean	1167	https://raw.githubusercontent.com/yuuki/droot/master/vendor/github.com/docker/docker/api/swagger.yaml
x-a127-config	14	object	14	https://raw.githubusercontent.com/WWitman/swagger-node/master/test/commands/project/badswagger.yaml
x-displayName	13	string	156	https://raw.githubusercontent.com/yuuki/droot/master/vendor/github.com/docker/docker/api/swagger.yaml
x-a127-services	11	object	11	https://raw.githubusercontent.com/sloppylopez/apigee/master/api/swagger/swagger.yaml
x-aws-exception	11	boolean	688	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-ms-client-name	11	string	133	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-storage/2016-12-01/swagger/storage.json
x-a127-apply	10	object	42	https://raw.githubusercontent.com/sloppylopez/apigee/master/api/swagger/swagger.yaml
x-ms-skip-url-encoding	9	boolean	64	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-notificationhubs/2014-09-01/swagger/notificationhubs.json
x-kubernetes-group-version-kind	8	object	484	https://raw.githubusercontent.com/kubernetes/kubernetes/master/federation/apis/openapi-spec/swagger.json
x-ms-external	8	boolean	17	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-batch/2015-12-01/swagger/BatchManagement.json
x-volos-resources	8	object	8	https://raw.githubusercontent.com/WWitman/swagger-node/master/test/commands/project/badswagger.yaml
x-inin-error-codes	7	object	43486	https://raw.githubusercontent.com/MyPureCloud/purecloud_javascript_client/master/swagger.json
x-inin-method-name	7	string	4831	https://raw.githubusercontent.com/MyPureCloud/purecloud_javascript_client/master/swagger.json
x-ms-code-generation-settings	7	object	7	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-batch/2015-12-01/swagger/BatchManagement.json
x-code-samples	6	object	191	http://rebilly.github.io/RebillyAPI/swagger.json
x-data-threescale-name	6	string	99	https://developer.hetras.com/swagger/spec/BookingAPIv0.json
x-inin-requires-permissions	6	object	2486	https://raw.githubusercontent.com/MyPureCloud/purecloud_javascript_client/master/swagger.json
x-purecloud-method-name	6	string	4274	https://raw.githubusercontent.com/MyPureCloud/purecloud_javascript_client/master/swagger.json
x-volos-apply	6	object	6	https://raw.githubusercontent.com/WWitman/swagger-node/master/test/commands/project/badswagger.yaml
x-amazon-apigateway-auth	5	object	9	https://raw.githubusercontent.com/warnergodfrey/lambda-clj-example/master/resources/swagger.json
x-go-package	5	string	17	https://raw.githubusercontent.com/vjeantet/bitfan/master/api/swagger.json
x-is-map	5	boolean	388	D:\nodejs\openapi-definitions\Yammer\swagger.json
x-mojo-around-action	5	string	5	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
