key	definitions	type	instances	example
x-mashery-id	300	string	300	\openapi-definitions\mashery\api.sportradar.us\NCAAMB-Content-Trial\1.0.0\swagger.json
x-logo	106	object	106	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-amazon-apigateway-authtype	101	string	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-apiClientRegistration	101	object	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-apisguru-categories	101	object	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-origin	101	object	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-preferred	101	boolean	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-providerName	101	string	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-release	101	string	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-serviceName	101	string	101	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-hasEquivalentPaths	91	boolean	91	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-waiters	25	object	55	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/route53-2013-04-01.normal.json
x-aws-exception	11	boolean	688	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/swf-2012-01-25.normal.json
x-is-map	5	boolean	388	\openapi-definitions\Yammer\swagger.json
x-pattern	4	string	29	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/elasticmapreduce-2009-03-31.normal.json
x-annotations	2	object	370	\openapi-definitions\mashery\api.penton.com\Price-Digest-V1\1\swagger.json
x-amz-security-token	1	object	1	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/s3-2006-03-01.normal.json
