key	definitions	type	instances	example
x-azure-api-id	1043	string	1043	https://api.swaggerhub.com/apis/Zowie/test/1.0.0
x-swagger-router-controller	620	string	7239	https://api.swaggerhub.com/apis/zuora/custom-objects/1.0.0
x-amazon-apigateway-integration	233	object	3314	https://api.swaggerhub.com/apis/zjr/tg2/2
x-aws-api-id	75	string	75	https://api.swaggerhub.com/apis/zhangxi1994/Test/1
x-example	62	multiple	1164	https://api.swaggerhub.com/apis/ZeshengC/ferns-subscriber_release_api/1.0.0
x-operation-settings	55	object	1493	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-unitTests	55	object	1488	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-swagger-pipe	51	string	51	https://api.swaggerhub.com/apis/zirkel/cymbio-api/1
x-amazon-apigateway-authtype	44	string	46	https://api.swaggerhub.com/apis/zjr/tg2/2
x-disabled-for-amazon-gateway	42	object	53	https://api.swaggerhub.com/apis/xthug/jeff/1.0.0
x-is-map	39	boolean	2990	https://api.swaggerhub.com/apis/ZiNETHQ/SimpleUK/2.0
x-logo	36	object	36	https://api.swaggerhub.com/apis/wilsonmar/PetStore/1.0.0
x-nullable	32	boolean	4354	https://api.swaggerhub.com/apis/zoeabryant/customer-api_v_2_swagger_specification/2.0.0
x-allowExtraHeaders	29	boolean	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-arrayCheckCount	29	boolean	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-arrayOrderedMatching	29	boolean	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-bodyMatchMode	29	string	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-matchResponseSchema	29	boolean	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-testDescription	29	string	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-testEnabled	29	boolean	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-testName	29	string	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-testShouldPass	29	boolean	473	https://api.swaggerhub.com/apis/valik351/dots-api/1.0
x-ibm-configuration	20	object	20	https://api.swaggerhub.com/apis/shivnarayan/ccp-registration/1.0.1
x-next	20	object	22	https://api.swaggerhub.com/apis/yoanis_gil/DomainParkingSetup/1.0
x-accessUrl	18	string	18	https://api.swaggerhub.com/apis/tacoon/Tacoon-REST-API/0.0.1
x-oauth1	18	boolean	18	https://api.swaggerhub.com/apis/tacoon/Tacoon-REST-API/0.0.1
x-ibm-name	17	string	18	https://api.swaggerhub.com/apis/Tesla-Demo/Tesla_ModeS_API/0.0.2
x-auth-type	16	string	164	https://api.swaggerhub.com/apis/zhoudegao/PhoneVerification/1.0.0
x-throttling-tier	16	string	166	https://api.swaggerhub.com/apis/zhoudegao/PhoneVerification/1.0.0
x-any	15	object	15	https://api.swaggerhub.com/apis/Superbuddy/saitama/1.0.0
x-amazon-apigateway-documentation	13	object	13	https://api.swaggerhub.com/apis/vtsujith/content-service/1.0
x-summary	13	string	68	https://api.swaggerhub.com/apis/xpolakm5/rest-api_for_oracle_eloqua_marketing_cloud_service/2017.01.03
x-amazon-apigateway-authorizer	12	object	12	https://api.swaggerhub.com/apis/zjr/tg2/2
x-code-samples	12	object	2384	https://api.swaggerhub.com/apis/wilsonmar/PetStore/1.0.0
x-tags	12	object	141	https://api.swaggerhub.com/apis/Zarshen/CloudServicesAPI/1.0.6.5
x-providerName	11	string	11	https://raw.githubusercontent.com/raml-apis/Bufferapp/production/api.raml
x-amazon-apigateway-auth	10	object	69	https://api.swaggerhub.com/apis/simpletask/NivoAPI-SignIn/1.0
x-title	10	string	355	https://api.swaggerhub.com/apis/sicard_f/api-flow_swagger_conversion/0.0.0
x-abstract	9	boolean	60	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-type	9	string	289	https://api.swaggerhub.com/apis/zuora/Settings2/1.0.0
x-accepts	8	multiple	891	https://api.swaggerhub.com/apis/timburks/Bookstore/1.0
x-go-name	8	string	246	https://api.swaggerhub.com/apis/vjeantet/bitfan/1.0.0
x-implements	8	string	81	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-ms-enum	8	object	82	https://api.swaggerhub.com/apis/scottzilla/compute-management_client/2016-03-30
x-preferred	8	boolean	8	https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/xkcd.com/1.0.0/swagger.yaml
x-contentType	7	string	883	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-description	7	string	49	https://api.swaggerhub.com/apis/zuora/Settings2/1.0.0
x-dotInPath	7	boolean	7	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-interface	7	boolean	28	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-ms-azure-resource	7	boolean	10	https://api.swaggerhub.com/apis/scottzilla/compute-management_client/2016-03-30
x-ms-client-flatten	7	boolean	29	https://api.swaggerhub.com/apis/scottzilla/compute-management_client/2016-03-30
x-ms-pageable	7	object	29	https://api.swaggerhub.com/apis/scottzilla/compute-management_client/2016-03-30
x-parent	7	string	7	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-produces-any	7	boolean	14	https://api.swaggerhub.com/apis/SriVR/cyclos/1.0
x-stoplight	7	object	457	https://api.swaggerhub.com/apis/vasant/nest-care/3.0
x-tests	7	object	7	https://api.swaggerhub.com/apis/vasant/nest-care/3.0
x-expires	6	object	34	https://api.swaggerhub.com/apis/Pomyk/multimedia/0.5
x-internal-id	6	string	923	https://api.swaggerhub.com/apis/xpolakm5/rest-api_for_oracle_eloqua_marketing_cloud_service/2017.01.03
x-mediation-script	6	string	31	https://api.swaggerhub.com/apis/patersj/JP-TESTAPI/v1.1.2
x-path	6	string	153	https://api.swaggerhub.com/apis/y-higuchi/Tapi-ObjectClasses/1.0.0
x-primary-key	6	boolean	388	https://api.swaggerhub.com/apis/Turkish/vehicle-traces/1.0.0
x-serviceName	6	string	6	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-cognitiveservices/2016-02-01-preview/swagger/cognitiveservices.json
x-testValue	6	multiple	6	https://api.swaggerhub.com/apis/thingsheaven/ThingsHeaven/1.0.1
x-a127-services	5	object	5	https://api.swaggerhub.com/apis/saifzahur/payments/1.0.0
x-amazon-apigateway-any-method	5	object	9	https://api.swaggerhub.com/apis/vtsujith/content-service/1.0
x-format	5	multiple	23	https://api.swaggerhub.com/apis/ryanhollister/api-documentation/3.0.11
x-key	5	string	171	https://api.swaggerhub.com/apis/y-higuchi/Tapi-ObjectClasses/1.0.0
x-tagGroups	5	object	5	https://api.swaggerhub.com/apis/Zeizig/charon-api_documentation/1.0.0
x-a127-apply	4	object	12	https://api.swaggerhub.com/apis/saifzahur/payments/1.0.0
x-apisguru-categories	4	object	4	https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/xkcd.com/1.0.0/swagger.yaml
x-asee-tags	4	object	36	https://api.swaggerhub.com/apis/mihai23cosmin/account-data_api/v1
x-constraint	4	object	14	https://api.swaggerhub.com/apis/ryanhollister/api-documentation/3.0.11
x-default	4	multiple	38	https://api.swaggerhub.com/apis/ronsuez/reseed.IndetityService/1.0.1
x-displayName	4	string	48	https://api.swaggerhub.com/apis/sasah/docker-engine_api/1.26
x-go-package	4	string	57	https://api.swaggerhub.com/apis/vjeantet/bitfan/1.0.0
x-isnullable	4	boolean	57	https://api.swaggerhub.com/apis/trntga/forum/0.1.0
x-odata-version	4	string	4	https://api.swaggerhub.com/apis/RobyHyde/recruiting/1.0
