format	definitions	instances	example
int32	233	3386	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json
int64	171	2192	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-network/2016-06-01/swagger/network.json
date-time	119	2874	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
double	110	735	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
byte	56	212	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
float	55	1151	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
google-datetime	38	190	https://servicemanagement.googleapis.com/$discovery/rest?version=v1
uint64	37	280	https://www.googleapis.com/discovery/v1/apis/youtube/v3/rest
uint32	30	177	https://servicemanagement.googleapis.com/$discovery/rest?version=v1
date	21	196	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
duration	14	142	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/insights/2016-03-01/swagger/insightsClient_MetricDefinitions.json
google-duration	13	28	https://spanner.googleapis.com/$discovery/rest?version=v1
uuid	11	453	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
uri	10	143	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
email	8	31	https://developer.citrixonline.com/sites/default/files/citrix/citrix-apis/gotoassistseeit.json
google-fieldmask	8	26	https://servicemanagement.googleapis.com/$discovery/rest?version=v1
password	8	79	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-servermanagement/2016-07-01-preview/swagger/servermanagement.json
string	8	31	http://zappiti.com/api/zappiti-player-4k/swagger/swagger.yaml
url	7	17	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-machinelearning/2016-05-01-preview/swagger/webservices.json
date-time-rfc1123	5	825	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-iothub/2016-02-03/swagger/iothub.json
int	5	5	http://api.docs.import.io/data/swagger.json
integer	4	26	https://uebermaps.com/api/v2/apidocs
date-format	2	10	https://watchful.li/api/v1/api-docs/
dateTime	2	10	https://firefox.settings.services.mozilla.com/v1/__api__
ipv4	2	5	https://raw.githubusercontent.com/sendgrid/sendgrid-oai/master/oai.json
CVE-YYYY-NNNN	1	2	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
Integer	1	1	https://raw.githubusercontent.com/amadeus-travel-innovation-sandbox/sandbox-content/master/swagger.yml
Standard Thumbnail	1	1	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json
Y-m-d	1	2	http://apidoc.apacta.com/swagger.yaml
YYYY	1	1	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
bin	1	2	http://rebilly.github.io/RebillyAPI/swagger.json
binary	1	1	https://raw.githubusercontent.com/kevinoid/appveyor-swagger/master/swagger.yaml
cisco-sa-XXX	1	2	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
command separated list	1	1	http://recsvm.rummblelabs.com/api-spec/seldon.json
countrycode	1	3	http://learnifier.com/apidocs/learnifier.json
datetime	1	2	http://apidoc.apacta.com/swagger.yaml
decimal	1	2	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-commerce/2015-06-01-preview/swagger/commerce.json
enum	1	6	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
extid	1	4	http://learnifier.com/apidocs/learnifier.json
float32	1	3	http://support.beanstream.com/restapi/swagger.json
google	1	2	https://api.apis.guru/v2/swagger.json
hostname	1	2	https://raw.githubusercontent.com/sendgrid/sendgrid-oai/master/oai.json
id64	1	2	http://learnifier.com/apidocs/learnifier.json
json	1	1	https://watchful.li/api/v1/api-docs/
locale	1	8	http://learnifier.com/apidocs/learnifier.json
long	1	1	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
number	1	2	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
timezone	1	3	http://learnifier.com/apidocs/learnifier.json
