format	definitions	instances	example
int32	21845	174879	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
int64	12780	135194	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
date-time	10125	57036	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
uuid	6587	15091	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
url	5058	5945	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-machinelearning/2016-05-01-preview/swagger/webservices.json
double	4100	39398	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
date	2202	15518	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
float	1563	9049	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
string	1177	12200	http://zappiti.com/api/zappiti-player-4k/swagger/swagger.yaml
byte	784	2243	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
uri	763	10974	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
password	745	1198	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-servermanagement/2016-07-01-preview/swagger/servermanagement.json
email	677	1356	https://developer.citrixonline.com/sites/default/files/citrix/citrix-apis/gotoassistseeit.json
integer	545	3657	https://uebermaps.com/api/v2/apidocs
binary	284	637	https://raw.githubusercontent.com/kevinoid/appveyor-swagger/master/swagger.yaml
JSON	244	18441	https://raw.githubusercontent.com/yantrashala/gulp-loopback-swagger-validator/master/test/generatedCode.json
dateTime	242	1252	https://firefox.settings.services.mozilla.com/v1/__api__
uint64	236	1348	https://www.googleapis.com/discovery/v1/apis/youtubeAnalytics/v1beta1/rest
int	197	1219	http://api.docs.import.io/schedule/swagger.json
boolean	183	1026	https://raw.githubusercontent.com/zicar123/NLog/master/documentation/ApiDescription.yaml
	182	16144	https://raw.githubusercontent.com/zhangkailikelly/CSVA/master/csvajianguan/api/test.json
datetime	137	551	http://apidoc.apacta.com/swagger.yaml
decimal	125	3364	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-commerce/2015-06-01-preview/swagger/commerce.json
uint32	119	656	https://www.googleapis.com/discovery/v1/apis/youtube/v3/rest
json	103	300	https://watchful.li/api/v1/api-docs/
long	91	562	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-mobileengagement/2014-12-01/swagger/mobile-engagement.json
int-or-string	82	82	https://raw.githubusercontent.com/yiqinguo/kubernetes-annotation/master/federation/apis/openapi-spec/swagger.json
text	79	267	https://raw.githubusercontent.com/weching/swagger-files/master/automation/yaml/AllElementsSwagger-go.yaml
duration	77	396	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/insights/2016-03-01/swagger/insightsClient_MetricDefinitions.json
bytes	72	833	https://raw.githubusercontent.com/zlpcrmm/fabric/master/core/rest/rest_api.json
number	71	821	https://raw.githubusercontent.com/CiscoPSIRT/openVulnAPI/master/swagger/openVulnAPISwagger0_0_3.yaml
T	60	64	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/vscommerce.json
google-datetime	59	282	https://youtubereporting.googleapis.com/$discovery/rest?version=v1
time	54	363	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Guilherme-Isidoro/master/CMO/docs/CMO%20requests.yaml
int16	48	175	https://raw.githubusercontent.com/yourapiexpert/restify-template/master/003%20Endpoints/specs/swagger.yaml
guid	45	283	https://raw.githubusercontent.com/solidbrackets/appconfig_api_nodejs/master/swagger/swagger.json
URL	37	75	https://raw.githubusercontent.com/zalando-incubator/zally/master/server/src/test/resources/fixtures/api_spa.yaml
UUID	35	148	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/string_formats.yaml
array	31	57	https://raw.githubusercontent.com/xibosignage/xibo-cms/master/web/swagger.json
date-time-rfc1123	31	2188	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-iothub/2016-02-03/swagger/iothub.json
phone	27	44	https://raw.githubusercontent.com/springblock/Chaincore/master/src/BlockEx/BlockExAPI/api/swagger.yaml
uint16	27	144	https://raw.githubusercontent.com/wxiaof2005/Docker/master/api/swagger.yaml
base64	25	45	https://raw.githubusercontent.com/Xilef09/hackernewsASW/master/api/api.yaml
id	25	221	https://raw.githubusercontent.com/VirlanValentin/WADe_UReR/master/swagger_final.yaml
file	24	52	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Erick-Lopes/master/Perfc-Swagger-doc.yaml
varchar	24	378	https://raw.githubusercontent.com/Karthik45/HerokuApp/master/api/swagger.yaml
YYYY-MM-DD	22	63	https://raw.githubusercontent.com/sittor/back/master/swagger/result.json
timestamp	22	75	https://raw.githubusercontent.com/Turnierserver/Turnierserver/master/Frontend/api.yaml
as returned by /charts	21	95	https://raw.githubusercontent.com/ywx217/docker-netdata/master/netdata/web/netdata-swagger.yaml
DateTime	19	55	https://raw.githubusercontent.com/swapnanildeb/raml-testing/master/blockapps-docs/blockapps-docs/dist/swagger.json
google-duration	19	40	https://safebrowsing.googleapis.com/$discovery/rest?version=v4
ip-address	18	18	https://raw.githubusercontent.com/wxiaof2005/Docker/master/api/swagger.yaml
