format	definitions	instances	example
int32	9822	97029	https://raw.githubusercontent.com/zzen/swagger-demo/master/swagger.yaml
int64	6832	63935	https://raw.githubusercontent.com/zzen/swagger-demo/master/swagger.yaml
date-time	4008	26881	https://raw.githubusercontent.com/ZurgInq/swagger-server/master/petstore.json
double	2616	19903	https://raw.githubusercontent.com/zpdemo/demo-app/master/uber_api.json
date	1304	7845	https://raw.githubusercontent.com/zicar123/NLog/master/documentation/ApiDescription.yaml
float	1055	5500	https://raw.githubusercontent.com/zhengfangxin123/gitTest/master/api-all.yaml
uuid	895	4879	https://raw.githubusercontent.com/ZumoCommunity/Notification-API/master/src/api/api/swagger/swagger.yaml
string	815	7188	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/src/main/yaml/prospects.yaml
byte	567	1607	D:\nodejs\analysis\defs_github_large\ztz0223+FileManagerWithExpress@Yaml-storage.yaml
password	521	727	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/test/specs/v2/petstore.json
email	385	762	https://raw.githubusercontent.com/Zero-Prime/swagger/master/swagger.yaml
integer	334	2249	https://raw.githubusercontent.com/zhuliliang/cloudapi/master/src/main/yaml/prospects.yaml
uri	259	9120	https://raw.githubusercontent.com/zetaron/deployment-bot-thing/master/swagger/swagger.yaml
JSON	221	12776	https://raw.githubusercontent.com/yantrashala/gulp-loopback-swagger-validator/master/test/generatedCode.json
binary	217	472	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/string_formats.yaml
url	197	642	https://raw.githubusercontent.com/ZumoCommunity/Application-API/master/src/api/swagger/swagger.yaml
uint64	194	1018	https://raw.githubusercontent.com/zlpcrmm/fabric/master/core/rest/rest_api.json
	172	15975	https://raw.githubusercontent.com/zhangkailikelly/CSVA/master/csvajianguan/api/test.json
dateTime	130	733	https://raw.githubusercontent.com/zhengfangxin123/gitTest/master/api-all.yaml
boolean	126	674	https://raw.githubusercontent.com/zicar123/NLog/master/documentation/ApiDescription.yaml
int	118	806	https://raw.githubusercontent.com/zhangwei1983ch/apiDefinition/master/apiyamls/stock.yaml
int-or-string	80	80	https://raw.githubusercontent.com/yiqinguo/kubernetes-annotation/master/federation/apis/openapi-spec/swagger.json
uint32	75	407	https://raw.githubusercontent.com/wxiaof2005/Docker/master/api/swagger.yaml
json	74	210	https://raw.githubusercontent.com/zhangkailikelly/CSVA/master/csvajianguan/api/json/dev.json
bytes	72	833	https://raw.githubusercontent.com/zlpcrmm/fabric/master/core/rest/rest_api.json
T	60	64	https://raw.githubusercontent.com/Microsoft/tedchambDocTest/master/TedChambDocTest/swagger/WorkItemTrackingProcessTemplate.json
duration	60	240	https://raw.githubusercontent.com/reveliant/airlift/master/api/swagger.yaml
decimal	58	1687	https://raw.githubusercontent.com/zhengfangxin123/gitTest/master/api-all.yaml
text	58	146	https://raw.githubusercontent.com/weching/swagger-files/master/automation/json/AllElements-noDescription.json
long	46	293	https://raw.githubusercontent.com/zalando-incubator/axiom-web/master/vertx-swagger/src/test/resources/swagger-parameter-test.json
datetime	40	139	https://raw.githubusercontent.com/zalando-incubator/axiom-web/master/vertx-swagger/src/test/resources/swagger-parameter-test.json
int16	31	120	https://raw.githubusercontent.com/yourapiexpert/restify-template/master/003%20Endpoints/specs/swagger.yaml
date-time-rfc1123	26	1363	https://raw.githubusercontent.com/olydis/scratch/master/BlobStorage/ExtensionsDemo/x-ms-skip-url-encoding/blob-storage.yaml
URL	24	56	https://raw.githubusercontent.com/zalando-incubator/zally/master/server/src/test/resources/fixtures/api_spa.yaml
number	24	156	https://raw.githubusercontent.com/sjezewski/talk/master/docs/swagger.yaml
guid	23	116	https://raw.githubusercontent.com/solidbrackets/appconfig_api_nodejs/master/swagger/swagger.json
uint16	22	131	https://raw.githubusercontent.com/wxiaof2005/Docker/master/api/swagger.yaml
as returned by /charts	21	95	https://raw.githubusercontent.com/ywx217/docker-netdata/master/netdata/web/netdata-swagger.yaml
google-datetime	21	92	https://servicemanagement.googleapis.com/$discovery/rest?version=v1
time	21	301	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Guilherme-Isidoro/master/CMO/docs/CMO%20requests.yaml
varchar	20	317	https://raw.githubusercontent.com/Karthik45/HerokuApp/master/api/swagger.yaml
UUID	17	84	https://raw.githubusercontent.com/zalando-incubator/play-swagger/master/swagger-parser/src/test/resources/examples/string_formats.yaml
uint8	17	25	https://raw.githubusercontent.com/youarebee/server/master/html/js/api.json
any text	16	75	https://raw.githubusercontent.com/ywx217/docker-netdata/master/netdata/web/netdata-swagger.yaml
base64url	16	66	https://raw.githubusercontent.com/wangf1/hello-world/master/NorthwindODataV4_OpenAPI.json
file	16	44	https://raw.githubusercontent.com/Uniceub-Web-Development-2016-2/Erick-Lopes/master/Perfc-Swagger-doc.yaml
A string containing the base currency and quote cu...	15	69	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
DateTime	15	47	https://raw.githubusercontent.com/swapnanildeb/raml-testing/master/blockapps-docs/blockapps-docs/dist/swagger.json
array	14	27	https://raw.githubusercontent.com/xibosignage/xibo-cms/master/web/swagger.json
int8	14	173	https://raw.githubusercontent.com/swe-zzf/docker-crane/master/doc/api/v1/api-doc.yaml
isbn	14	27	https://raw.githubusercontent.com/luxe-eng/koa-spec/master/test/data/query_parameter_string_isbn.yaml
A decimal number encoded as a string. The amount o...	13	93	https://raw.githubusercontent.com/oanda/v20-openapi/master/yaml/separate/v20_primitives.yaml
