format	total
int32	2877860
int64	1944244
date-time	810792
date	429870
double	333480
ipv4	209106
ipv6	208938
uuid	184149
email	115018
uri	85726
float	81910
byte	75159
int	52247
string	36249
decimal	17271
url	15993
mask	15709
dateTime	11507
binary	8447
guid	8413
uint64	6822
boolean	5581
uint32	3668
UUID	3049
integer	2668
INTERNAL	2221
object	2021
slug	1924
google-datetime	1915
password	1773
JSON	1735
swagger	1648
metadata	1579
uint16	1374
object-id	1110
utc-millisec	1026
long	982
datetime	964
uri-reference	918
json	898
	839
date-time-rfc1123	704
google-duration	614
int-or-string	570
uint8	570
google	568
ip-address	563
duration	538
iri-reference	486
*	339
ascii	286
jwt	283
objectid	281
float64	277
number	270
Int64	270
Int32	254
yyyy-mm-ddThh:MM:ssZ	232
unix-time	231
date-time?	214
time	211
CIDR	191
objectID	179
id	178
openapi	177
phone	156
google-fieldmask	154
int16	150
positiveDecimal	144
JID	141
path	136
YYYY-MM-DD	130
text	129
local-date	128
comma-separated-array	128
time-span	125
date_time	119
date-span	116
html	112
piepackerID	110
%Y-%m-%d %H:%M:%S	110
base64	108
auth|xxxxxx	108
version	102
uuid4	97
enum	96
float32	86
kvstore	86
listen	86
moniker	86
IRI	83
character varying	82
geojson	82
leafref	82
URL	81
Base 64 string	80
int11	79
acc:1	78
unixtime	76
file-path	72
integer11	72
JWT token	70
xtype:unique-identifier	69
array	64
thor_id	64
ip	63
hostname	62
timestamp	61
yyyy-MM-ddTHH:mm:ss	61
hex32	60
base64url	58
money	57
year-quarter	52
file	51
as returned by /charts	50
bool	48
yyyy-MM-dd'T'HH:mm:ss.SSSZ	48
Y-m-d	48
yyyy-MM-dd	47
filename	47
any text	47
char(30)	45
Guid	44
"Fri	 03 May 2019 08:44:42 GMT"	44
metaData	43
meta:password	42
xtype:access-role	42
k1av2M1QR4zUd5eI.....	42
webid	40
solr	40
String	39
iso-datetime (yyyy-mm-dd hh:mm:ss)	39
data-time	39
nullable	39
token	38
UUIDv4	37
Pfx	36
Hex16	36
2006-01-02T15	36
Y-m-d H:i:s	36
HRAddress	36
yyyy-MM-dd HH:mm:ss.fff	35
full-date	35
year-month	34
ISO 8601 UTC date/time	33
int(4)	32
markdown	32
pipes	32
RFC3339	31
str	31
YYYY-MM-DDTHH:mm:ssTZD	28
xtype:flow-identifier	27
LrwAppEui	27
timezone	26
bytes	26
iso8601	26
DateTime	26
geometry	26
date-report	26
minutes	26
yyyy-mm-ddThh:MM:ss+hhMM	26
zip	24
int(64)	24
int8	24
semver	24
barcode	24
"^(-?\d+(?:\.\d+)?)	(-?\d+(?:\.\d+)?)$"	24
<app>:<role>	24
mkt:admin	24
Fields name separated by comma	24
cortex-id	24
char	22
"date with/without timezone or relative time to now (eg. 3d	 1w	 3m)"	22
single	22
str[30]	21
yyyy-mm-dd	21
^\w{3}$	21
/^(\d+\.)?(\d+\.)?(\*|\d+)$/	20
blacklists	20
whitelists	20
denied_country_list	20
