format	definitions	instances	example
int32	11781	74407	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
date-time	5893	26965	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int64	5762	68963	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
uuid	5681	9759	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
url	4853	5284	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
double	1334	18685	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
date	845	6993	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
uri	492	1709	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
float	441	2370	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
string	354	4981	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
email	284	563	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
integer	207	1382	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
password	199	346	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
byte	161	424	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
dateTime	110	509	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
datetime	96	410	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int	74	408	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
decimal	66	1675	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
binary	65	163	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
boolean	57	352	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
number	46	663	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
long	44	268	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
time	33	62	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
json	28	89	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
JSON	23	5665	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
guid	22	167	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
text	21	121	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
phone	19	31	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
timestamp	19	68	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
UUID	18	64	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
array	17	30	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int16	17	55	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
id	14	87	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
uint32	14	72	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
URL	13	19	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
base64	12	21	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
yyyy-mm-dd	12	104	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Int32	11	43	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
	10	169	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
YYYY-MM-DD	10	19	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
jwt	10	16	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
required	9	360	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
YYYY-mm-dd	8	11	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
file	8	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
String	7	17	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
mail	7	7	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
object	7	35	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
uid	7	24	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Date	6	11	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
enum	6	38	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
hash	6	19	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
hostname	6	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
integer64	6	17	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
money	6	21	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
GUID	5	9	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Integer	5	22	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
bool	5	7	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
csv	5	79	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
currency	5	22	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
full-date	5	32	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int6	5	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ip	5	19	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ip-address	5	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
uint16	5	13	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
uint64	5	50	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
urn	5	18	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
DateTime	4	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ISO 8601	4	16	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
XXX-XXXX-XXXX	4	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
YYYY	4	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
YYYY-MM-DD-HH-MM-SSSSS	4	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
address	4	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int64;	4	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ipv4	4	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
numeric	4	9	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
objectid	4	39	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
varchar	4	61	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
0/1	3	67	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
>0	3	34	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Bearer token	3	30	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
CVE-YYYY-NNNN	3	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Two letters ISO (de,en)	3	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Y-m-d H:i:s	3	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
^\d+$	3	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
cisco-sa-XXX	3	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
date-Time	3	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
date_time	3	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
dd/mm/yyyy	3	11	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
duration	3	14	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
hex	3	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
html	3	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
in32	3	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int1	3	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int10	3	10	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int11	3	9	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
int8	3	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
objectId	3	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
path	3	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
phone-number	3	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
signed integer	3	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
srtring	3	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
timeSpan	3	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
tinyint	3	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
yyyyMMddTHHmmss	3	7	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
$ref '#/definitions/AppliedDiscount'	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
1	2	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
10	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
12345	2	12	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
14 символов	2	22	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
16 hex-символов	2	10	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
20	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
DD/MM/YYYY	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Float	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Guid	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
IPv4 Address	2	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
IPv4 CIDR address	2	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ISO 3166-1 alfa 2	2	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ISO 3166-1 alpha-2	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ISO 639-1	2	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ISO8601	2	8	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Int64	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
MIME	2	10	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
ObjectID	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
Two Letters ISO (de,en)	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
URI	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
UiT	2	3	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
\d+	2	7	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
^S*$	2	10	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
^\d*$	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
alphanumeric	2	21	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
char 1	2	6	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
char 2	2	12	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
code	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
color	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
coma delimited values	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
comma-sepreated list of answer-ids	2	2	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
custom	2	5	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
data	2	4	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
data-time	2	9	https://api.swaggerhub.com/apis/zen4ever/public-api/1.0
