sibling_set	total
description	700989
originalRef	164228
type	76886
readOnly	9876
description|originalRef	8985
allowEmptyValue|description	6959
description|readOnly	6312
x-alternatives	6147
xml	5867
description|type	4064
x-nullable	4017
description|x-ms-client-flatten	2643
description|example	1981
in|name	1328
genericRef|vendorExtensions	1314
title	1275
x-ms-client-flatten	1227
example	1026
x-scope	910
description|readOnly|type|writeOnly	867
genericRef	827
originalRef|xml	734
description|x-kubernetes-patch-strategy	641
description|title	620
required|x-alternatives	558
required	453
description|type|x-isclass	375
description|position	364
nullable	360
@class	337
properties|required|type	312
allowEmptyValue	293
title|type	239
required|type|x-alternatives	225
description|properties|required|type	185
allowEmptyValue|readOnly	175
items|type	172
allowEmptyValue|description|example|format|position|readOnly|title|xml	166
default	158
description|type|x-isenum	153
description|example|originalRef	153
description|x-ms-client-name	151
title|x-ms-client-flatten	147
type|x-alternatives	147
properties	140
reference|refFormat|simpleRef	120
description|required|type	114
description|xml	113
in|name|required	108
content|required	99
optional|x-alternatives	99
allowEmptyValue|description|originalRef	97
refFormat|required|simpleRef|type|vendorExtensions	92
in|name|x-go-name	92
public	84
properties|type	78
x-order	75
description|x-nullable	74
in	69
required|type	69
optional|required|x-alternatives	64
description|x-otm-annotations	59
nullable|type	53
description|public	49
description|readOnly|x-ms-client-flatten	43
optional|type|x-alternatives	43
description|x-ibm-languages	42
externalDocs	37
allowEmptyValue|description|example	37
description|notes|required|type|x-meta	36
schema	35
default|description	34
description|x-ms-mutability	33
description|properties|required|title|type	33
description|x-order	33
description|externalDocs	32
enum|format|type	32
description|required	31
x-isnullable	31
allowEmptyValue|example	31
allowEmptyValue|originalRef	30
readOnly|title	28
description|in|name|x-go-name	28
enum|format|in|name|required|type	28
message	26
summary|tags	24
allOf	23
description|readOnly|x-ms-client-name	22
x-omitempty	22
position	21
description|type|x-meta	21
description|x-ms-client-flatten|x-ms-client-name	20
additionalProperties	20
description|type|x-ms-client-flatten	19
description|properties|type	19
description|required|type|x-meta	19
description|example|format|position|readOnly|title|xml	19
description|readOnly|type	18
description|example|readOnly	18
description|in|name|required|schema	18
description|position|readOnly	18
items	17
description|in|name|required|type	16
description|enum|x-ms-enum	15
description|readOnly|title	14
description|type|x-ms-enum	14
type|x-ms-enum	14
name|required	14
description|in|name|required|x-go-name	12
description|in|type	12
example|type	11
description|items|type	10
case	10
employee	10
x-oad-type	9
x-deprecated	8
survey	8
surveyResponse	8
recommendationResult	8
user	8
description|x-example	8
$id|description|formHidden|readonly|title|type	8
description|title|type	7
example|readOnly	7
description|property	7
allowEmptyValue|description|readOnly	7
description|schema	7
x-linode-ref-name	6
x-disallow-patch|x-disallow-post|x-disallow-put	6
readOnly|title|x-nullable	6
description|properties	6
default|title	6
get	6
uniqueItems	6
default|example|type	6
in|name|required|type	6
err|message	6
example|title	6
xNullable	6
allOf|data	6
type|x-nullable	6
description|properties|x-ms-client-flatten	5
type|xml	5
format	5
@class|description	5
property|type	5
in|name|required|schema	5
description|externalDocs|readOnly	4
x-ms-client-name	4
description|x-omitempty	4
name|refFormat|required|simpleRef|type|vendorExtensions	4
callback	4
example|originalRef	4
x-costar-propertyname	4
optional	4
description|properties|title|type	4
format|type	4
reference	4
description|in|name|required	4
x-linode-cli-display	3
readOnly|x-ms-client-flatten	3
readOnly|x-ms-client-name	3
default|description|title	3
name	3
description|in|required|schema	3
enum	3
put	3
default|description|type	3
x-go-name	3
properties|title|type	3
required|x-scope	3
minLength	3
minItems|uniqueItems	3
description|readOnly|x-nullable	3
meters	2
description|example|type	2
description|example|title	2
description|format|minimum|type	2
description|nullable	2
additionalProperties|required|type	2
Schema	2
minItems	2
schema|type	2
description|x-go-name	2
description|x-nullable|x-omitempty	2
position|readOnly	2
maxLength	2
recommendationTasks	2
recommendationSurveys	2
readOnly|required	2
collectionFormat	2
/api/v1/collection	2
maxLength|minLength	2
properties|required	2
default|name	2
key	2
in|schema	2
data|success	2
x-required-post	1
description|title|x-ms-client-flatten	1
description|x-ms-client-flatten|x-nullable	1
deprecated|title	1
deprecated|description	1
example|properties|type	1
deprecated|description|type	1
additionalProperties|type	1
description|maxLength|minLength|title|type	1
example|properties|required	1
example|properties|title	1
additionalPropeties	1
404	1
$schema	1
examples|schema	1
description|example|items|type	1
description|schema|type	1
description|properties|title|type|x-go-package	1
description|format	1
example|title|type	1
sum	1
in|type	1
x-sections	1
example|x-sections	1

